query_id,paperId,relevant
1,166b8ba6d993278315333196d1009bac96818c8f,0
1,4fb435fe5c3c84721e07653bafda3caadf2ebffb,0
1,3a66e3a6fe1f9e1d95140f0c8fefc4ff964ba89d,0
1,d892b1335ad37c4773f98e8282b73d1460a9f2bf,0
1,0d244e25ffb587147be583eb90b1d6eca6740e26,0
1,b964e37d318013ece3e1a33d6d30a14df898377c,0
1,3f04900ff0b01b2912625967407cc53188212893,0
1,beabb3d31625fbbdba7e720d4d5baa6aac5d7b16,0
1,98adae1623a6f67de4acccd1358e46d568cd925c,0
1,920cd8b25373358779fde44f90774533f26d782a,0
1,f2df1a1c2c157bf53233a6648deb5135746fec43,0
1,f08cd81718a2002516476c38255c66de1916e85d,0
1,a9706a5ecec87831d625cdc0b8d856e12ce28429,0
1,89abfcec27ae484c368c25b0a1441aaa3bf6e408,0
1,b4076046f55b8005d82489728df5ea24ffcd0281,0
1,1346d703959399ba404f251290d0352f0631d242,0
1,89ddc52b54c38c6ece03943bb268598452ccf999,0
1,28fe0508eec57623b35ef6c7de13ce3d5958c113,0
1,20fe31978d0845c32177173e823496958fab32c5,1
1,52724f2baba8d7099fcb614878267958c2794b00,0
1,e11c67919830bb0a29a86b05936d467227accc81,0
1,9dd953b8e915d3c19bbd5584ad3769164d8f762a,0
1,a997d6e253f08a3e589432c611d6d2a3097d7629,0
1,9f5e2491549744b43b4f8920ce7e3e875ea79872,0
1,6c665a74d527d794096efe9e20e959594722e7d3,0
1,38b203794927fbdfbc506387bc68a4c76bb76676,0
1,4b348e2805932b1aa6c8f92bf680f4afca1c7b2a,0
1,9a170e202b071c32740bbd7b37b3fb3effda5466,1
1,02e343eac6a848d528dc84aa53e3cdaaf7df0ae6,1
1,e38d4fbfdf13532f7f58e5831cf7bc6d7d291c1a,0
1,0a3cc69ff70588648d2a3e097e07a7fd95d78ae0,0
1,e3360038a7b53c83547ea7e61780999a49f965cd,0
1,115617d09807325bd18c42deedd6cab435f90563,0
1,ba47ae27a1262b5480080005acdefd0cc0e7a728,0
1,e23f86a3021bb728af4a2d7f70cccb50ff91f4eb,0
1,0bfa7c89253235d2822a3fd45dfcc9f2e7787984,0
1,558adccd5dc482be3a17169ba1a921ea4b74101d,0
1,1d5d86c0ee4fab53fed4e8eaf4437ce32883f327,0
1,cba610ac919a37b6d13549b20919cc9077bb3391,0
1,17d7fd18123e12efbb9c255c8b986a5e84578b07,0
1,586aa6ddedea42042cacf92431eb568c346eeea7,0
1,582616fe83a85f095a16778c28297723e25b0ea7,0
1,45c008f1fa5b7438ad387e13931fd281a3207f2a,0
1,66a69c42778c7fff93f5d1dde69b2eceaa757b86,0
1,7b654e072b2fa2103fd2631f70b4fcd88b48d972,0
1,9df01dda4b30c5f34d9a67b580eddbd5ff7b3772,0
1,4b491211f7f29c3e9cdea4e4cd7ea4cc6f055595,0
1,7f55e65c152298ef8bf3251680f63d5efade0669,0
1,d360c15814a57c2a794e1d5f1b137bf9f2efde72,0
1,98428ba7cc444b127ff5fa5244ce9390f0e1cf58,0
1,ce1715982ba4ae45ed235e11142238485b0db9fe,0
1,890b62dac4d8f511b6ba15fcf995662a93e0cd88,0
1,686d9ee744fa013cc21cdd86acd864c936e9e456,0
1,449f5a19e08b0c0cbb09ab98b00f920651bc3f2d,1
1,f26699c40f43ee6f9e93f668e419c35f09c799af,1
1,5f062d25fe2e58aa2ab6eba4f89492fa3a761f1a,0
1,9d8f3af37d51065b3189ecbc4407adecf90131a3,0
1,2f7f680cff2a79049469f4347bf160b5e3485fb9,0
1,aee3dd493678b3a16750bee1a2c9553567aec29e,0
1,38fe0464af2ccc8db9ca3edc6ba1421931f645b2,0
1,634feec14175fcf5b8dee1e0ead3ceced7d84435,0
1,c05a9797e5ead09d0885efa9f1b464d319f80709,0
1,8030b9b333d56b7b1ab5453264ee81cf50bf0a80,0
1,3b56e66904af5310728277eca4281062f1d66343,0
1,680d7585a4bfa80dd661437f31e659fabc9670c0,0
1,dca8926b0926bc9523b11b104dbdaca96f3a152e,0
1,f3aea1550dd58193eb14c1e1d485b90f4c8d130c,0
1,86bca4f379e5e626430193f6bc5731be027d043d,0
1,1fb7213d881a16b4fa2059f8d58e04a07c10b210,0
1,6c00a148c6fd1e226500751bebfeb08abe856f73,0
1,3bf0e2f801076f0891a11e9ac5cb1da52bbbceb9,0
1,dd246382988ec1607297bde5f4f4cea75a3f9f6d,0
1,ca08f7a142eed7395d64e98aa6c97b2f170382d1,0
1,6fa5a3ee482667389a3970faa3e7ab51d4bd14f0,0
1,38503f99464f115a3cb05dfc4e96e7fe85454188,0
1,37fb74bac1695d73b5c325deeeea11ffed469bc5,0
1,84fc8ed2762c7ca7fa340209ffec3b1efc18af15,0
1,b73695187fd89968150c894b036d0017e75c17d6,0
1,5c71558f500b51a2bb4a2c09e28a6a06c2a8d3ba,0
1,08026039476c52f238ead4a95b105bdc9f93bfdb,0
1,a60f8498e85f01ec72120c153aa92387f8841a31,0
1,0c57cb87fcfb345ddc13bab3f20e9c203bac52e9,1
1,73007d240b1a0e0f5302b6d5c9f65b42f7ec7291,0
1,28c28192dfdea806f7b4a4b4c1dbeebf1ed4e400,0
1,c48f5f8f389585bd6c021e412e2f5f8ad2a72244,0
1,09cbf37d1d497d57578a822b23ad387dcce3b41b,0
1,87078d95bee341a1767034d9432fb34937ecf65a,0
1,686957399258cfedeaa1c4d146447f49869de29c,0
1,756aa33068209bcf6cdacbc9e1726c18400a9878,0
1,ad0ec19e2257a8ac184e13accf90aa77878769ea,0
1,61623f099ca0b77dd65388a1dee8060ebe9fc6da,0
1,15fed9e3b3a47471a1582f3389e9e437ad515305,0
1,40252c9440ca7450f5a15156d2116fc3981127f2,1
1,56444b35418f75d7a400f421d62516a6539c48c4,0
